,state_name,fips_code,total_2008,dem_2008,gop_2008,oth_2008,total_2012,dem_2012,gop_2012,oth_2012,total_2016,dem_2016,gop_2016,oth_2016,county_fips,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
0,Alabama,71489.0,2099819.0,813479.0,1266546.0,19794.0,2064699.0,793620.0,1252453.0,18626.0,2078165.0,718084.0,1306925.0,53156.0,71489.0,1434159.0,843473.0,2309900.0,590686.0,43.41039968914922,22.92086405088119,20.48953563826805
1,Arizona,60208.0,2293475.0,1034707.0,1230111.0,28657.0,2041519.0,900081.0,1107130.0,34308.0,2062810.0,936250.0,1021154.0,105406.0,60208.0,1606370.0,1626943.0,3292883.0,-20573.0,8.166367322594475,6.588669489693133,1.5776978329013425
2,Arkansas,380625.0,1086617.0,422310.0,638017.0,26290.0,1062831.0,391953.0,643717.0,27161.0,1108615.0,378729.0,677904.0,51982.0,380625.0,761251.0,420985.0,1216818.0,340266.0,51.68742267277018,21.09697999742831,30.590442675341883
3,California,351364.0,13561900.0,8274473.0,5011781.0,275646.0,10538656.0,6241648.0,4046524.0,250484.0,9631972.0,5931283.0,3184721.0,515968.0,351364.0,4634409.0,8979471.0,13898377.0,-4345062.0,24.672654969234735,32.056026026664746,-7.3833710574300175
4,Colorado,515983.0,2401361.0,1288576.0,1073589.0,39196.0,2419698.0,1238490.0,1125391.0,55817.0,2564185.0,1212209.0,1137455.0,214521.0,515983.0,1335253.0,1753416.0,3173241.0,-418163.0,35.79791098334974,26.730930523611402,9.066980459738321
5,Connecticut,72064.0,1646792.0,997772.0,629428.0,19592.0,1562187.0,912531.0,631432.0,18224.0,1623542.0,884432.0,668266.0,70844.0,72064.0,698847.0,1058827.0,1785882.0,-359980.0,3.392695386354166,4.465884297620282,-1.0731889112661168
6,Delaware,30009.0,412412.0,255459.0,152374.0,4579.0,413844.0,242547.0,165476.0,5821.0,441535.0,235581.0,185103.0,20851.0,30009.0,199857.0,295413.0,502384.0,-95556.0,1.328320650558029,1.628992704282516,-0.30067205372448724
7,District of Columbia,11001.0,265853.0,245800.0,17367.0,2686.0,243348.0,222332.0,17337.0,3679.0,280272.0,260223.0,11553.0,8496.0,11001.0,1149.0,29509.0,31260.0,-28360.0,0.036756238003838766,0.9439859245041586,-0.90722968650032
8,Florida,808550.0,8390744.0,4282074.0,4045624.0,63046.0,8470205.0,4235270.0,4162081.0,72854.0,9386750.0,4485745.0,4605515.0,295490.0,808550.0,5665734.0,5293624.0,11079270.0,372110.0,42.39515676558347,23.903424832003893,18.491731933579583
9,Georgia,2092677.0,3924472.0,1844123.0,2048759.0,31590.0,3877038.0,1761761.0,2070221.0,45056.0,4029564.0,1837300.0,2068623.0,123641.0,2092677.0,2454207.0,2461455.0,4978518.0,-7248.0,101.70910887376108,55.70542436074773,46.003684513013354
10,Hawaii,60020.0,452742.0,325201.0,120429.0,7112.0,429494.0,303090.0,119494.0,6910.0,428825.0,266827.0,128815.0,33183.0,60020.0,196602.0,365802.0,573854.0,-169200.0,1.3197408837209565,2.593816636344053,-1.2740757526230968
11,Idaho,705936.0,655032.0,236440.0,403012.0,15580.0,651871.0,212560.0,420750.0,18561.0,688235.0,189677.0,407199.0,91359.0,705936.0,554019.0,286991.0,868258.0,267028.0,32.13352731456089,10.591212411793498,21.542314902767387
12,Illinois,1744404.0,5522371.0,3419348.0,2031179.0,71844.0,5113726.0,2934826.0,2094526.0,84374.0,5374280.0,2977498.0,2118179.0,278603.0,1744404.0,2330734.0,3016834.0,5454018.0,-686100.0,66.07169918274063,32.86930235120649,33.20239683153412
13,Indiana,1664464.0,2912882.0,1374039.0,1345648.0,31357.0,2602883.0,1140425.0,1412620.0,49838.0,2722029.0,1031953.0,1556220.0,133856.0,1664464.0,1727085.0,1239529.0,3033176.0,487556.0,63.28925322003523,26.78516373111977,36.50408948891548
14,Iowa,1890801.0,1536820.0,828940.0,682379.0,25501.0,1565968.0,816429.0,727928.0,21611.0,1542880.0,650790.0,798923.0,93167.0,1890801.0,896500.0,757780.0,1687823.0,138720.0,63.199574560074815,34.07549547408323,29.12407908599161
15,Kansas,2111025.0,1235808.0,514765.0,699655.0,21388.0,1131244.0,427918.0,678719.0,24607.0,1147143.0,414788.0,656009.0,76346.0,2111025.0,756170.0,551425.0,1342296.0,204745.0,79.04794039342153,23.77262646693848,55.27531392648303
16,Kentucky,2534400.0,1826508.0,751985.0,1048462.0,26061.0,1796736.0,679340.0,1087127.0,30269.0,1922218.0,628834.0,1202942.0,90442.0,2534400.0,1342474.0,777813.0,2157886.0,564661.0,88.86683091037251,29.331254459293174,59.53557645107939
17,Louisiana,1412096.0,1960761.0,782989.0,1148275.0,29497.0,1993555.0,808496.0,1152460.0,32599.0,2027731.0,779535.0,1178004.0,70192.0,1412096.0,1255528.0,855630.0,2147395.0,399898.0,41.38359683749899,21.688700462819245,19.694896374679757
18,Maine,368256.0,731063.0,421823.0,295273.0,13967.0,710738.0,397754.0,290437.0,22547.0,741550.0,354873.0,334838.0,51839.0,368256.0,340512.0,419309.0,783776.0,-78797.0,7.718910602424192,7.8018894197857644,-0.0829788173615737
19,Maryland,577079.0,2631593.0,1629467.0,959862.0,42264.0,2475956.0,1527686.0,904970.0,43300.0,2474543.0,1497951.0,873646.0,102946.0,577079.0,851784.0,1531619.0,2433721.0,-679835.0,11.980228513767756,11.530678039715358,0.44955047405239806
20,Massachusetts,350196.0,3080985.0,1904097.0,1108854.0,68034.0,3129731.0,1901276.0,1178245.0,50210.0,3231531.0,1964768.0,1083069.0,183694.0,350196.0,1117297.0,2246253.0,3441942.0,-1128956.0,4.337127450383422,9.347392644145375,-5.010265193761953
21,Michigan,2164889.0,5001766.0,2872579.0,2048639.0,80548.0,4717728.0,2561911.0,2112673.0,43144.0,4789450.0,2267373.0,2279210.0,242867.0,2164889.0,2646956.0,2794853.0,5533143.0,-147897.0,49.428651611897365,32.19169420822772,17.23695740366964
22,Minnesota,2356569.0,2910370.0,1573354.0,1275409.0,61607.0,2928942.0,1547668.0,1321575.0,59699.0,2916404.0,1366676.0,1322891.0,226837.0,2356569.0,1485634.0,1717937.0,3273857.0,-232303.0,52.45753625695539,32.750639067974554,19.706897188980854
23,Mississippi,2302724.0,1289865.0,554662.0,724597.0,10606.0,1214004.0,528260.0,674302.0,11442.0,1162987.0,462001.0,678457.0,22529.0,2302724.0,683527.0,447162.0,1148432.0,236365.0,46.491411750820234,33.35842522333522,13.132986527485013
24,Missouri,3348537.0,2910906.0,1441947.0,1445814.0,37480.0,2744935.0,1215031.0,1478961.0,50943.0,2775098.0,1054889.0,1585753.0,134456.0,3348537.0,1711848.0,1242851.0,3011076.0,468997.0,86.41953582097099,26.75928471525389,59.660251105717144
25,Montana,1683136.0,490109.0,231667.0,242763.0,15679.0,479386.0,200489.0,264974.0,13923.0,483574.0,174521.0,274120.0,34933.0,1683136.0,341763.0,243714.0,603220.0,98049.0,38.60606916575457,16.077428219628548,22.528640946126025
26,Nebraska,2891649.0,801281.0,333319.0,452979.0,14983.0,765083.0,289154.0,462972.0,12957.0,805638.0,273858.0,485819.0,45961.0,2891649.0,550231.0,367930.0,941054.0,182301.0,72.77293293781806,18.474923240943312,54.29800969687476
27,Nevada,544774.0,961581.0,533736.0,412827.0,15018.0,1011105.0,528801.0,462422.0,19882.0,1122990.0,537753.0,511319.0,73918.0,544774.0,609901.0,632558.0,1269513.0,-22657.0,11.858674497342342,4.709589796197745,7.149084701144599
28,New Hampshire,330100.0,707611.0,384826.0,316534.0,6251.0,705874.0,368529.0,327870.0,9475.0,730628.0,348126.0,345598.0,36904.0,330100.0,365248.0,422284.0,803195.0,-57036.0,4.5863639681107875,5.232589016125328,-0.64622504801454
29,New Jersey,714441.0,3868237.0,2215422.0,1613207.0,39608.0,3378826.0,1960744.0,1383233.0,34849.0,3674893.0,2021756.0,1535513.0,117624.0,714441.0,1414156.0,2057599.0,3521861.0,-643443.0,8.836782220292669,11.845332712797209,-3.00855049250454
30,New Mexico,1155995.0,830158.0,472422.0,346832.0,10904.0,772329.0,408312.0,331915.0,32102.0,783127.0,380724.0,315875.0,86528.0,1155995.0,400823.0,497812.0,918943.0,-96989.0,17.57140217746892,14.773244549285986,2.798157628182935
31,New York,2235844.0,7640640.0,4804701.0,2752728.0,83211.0,6188982.0,3875826.0,2226637.0,86519.0,7046175.0,4143874.0,2640570.0,261731.0,2235844.0,2934143.0,4235992.0,7264757.0,-1301849.0,34.50345972845518,26.305561436424657,8.197898292030509
32,North Carolina,3710000.0,4310789.0,2142651.0,2128474.0,39664.0,4499039.0,2178388.0,2275853.0,44798.0,4629471.0,2162074.0,2339603.0,127794.0,3710000.0,2732818.0,2656303.0,5463928.0,76515.0,58.55522382529764,40.335758499947154,18.219465325350487
33,North Dakota,2016809.0,316581.0,141278.0,168561.0,6742.0,319825.0,124490.0,187586.0,7749.0,336968.0,93526.0,216133.0,27309.0,2016809.0,234962.0,114687.0,361279.0,120275.0,38.24913346023423,13.168271973814143,25.08086148642009
34,Ohio,3439744.0,5688361.0,2923149.0,2675009.0,90218.0,5379090.0,2697260.0,2593779.0,88051.0,5325395.0,2317001.0,2771984.0,236410.0,3439744.0,3071959.0,2611377.0,5775208.0,460582.0,59.153995212477426,27.48093777214321,31.673057440334244
35,Oklahoma,3085929.0,1462661.0,502496.0,960165.0,0.0,1332019.0,442647.0,889372.0,0.0,1451056.0,419788.0,947934.0,83334.0,3085929.0,1020280.0,503890.0,1560699.0,516390.0,59.93664177537294,15.612150603136294,44.32449117223668
36,Oregon,1477296.0,1827864.0,1037291.0,738475.0,52098.0,1713697.0,932459.0,732288.0,48950.0,1808575.0,934631.0,742506.0,131438.0,1477296.0,942737.0,1318475.0,2334762.0,-375738.0,20.405981217989495,14.537521725539552,5.868459492449947
37,Pennsylvania,2818489.0,5995137.0,3276363.0,2655885.0,62889.0,5596499.0,2907448.0,2619583.0,69468.0,5970107.0,2844705.0,2912941.0,212461.0,2818489.0,3311310.0,3345724.0,6748778.0,-34414.0,42.59508069574068,23.441917405395632,19.153163290345045
38,Rhode Island,220025.0,572512.0,373907.0,189315.0,9290.0,437380.0,274342.0,155355.0,7683.0,450121.0,249902.0,179421.0,20798.0,220025.0,197421.0,300325.0,505214.0,-102904.0,1.921239886515481,3.0014488662894587,-1.080208979773978
39,South Carolina,2072116.0,1920969.0,862449.0,1034896.0,23624.0,1921363.0,845756.0,1049507.0,26100.0,2084444.0,849469.0,1143611.0,91364.0,2072116.0,1386207.0,1092518.0,2515926.0,293689.0,24.604871886964744,20.813808261400382,3.791063625564357
40,South Dakota,2994383.0,378625.0,167953.0,202723.0,7949.0,360565.0,142066.0,210353.0,8146.0,367151.0,114938.0,227460.0,24753.0,3040485.0,261108.0,150475.0,422678.0,110633.0,44.46096251389922,20.163509225900235,24.297453287998977
41,Tennessee,4474025.0,2599723.0,1087437.0,1479178.0,33108.0,2442804.0,953043.0,1453097.0,36664.0,2484691.0,867110.0,1517402.0,100179.0,4474025.0,1849791.0,1139364.0,3050355.0,710427.0,71.03001682446703,22.518521638089837,48.511495186377196
42,Texas,12256516.0,8077795.0,3528633.0,4479328.0,69834.0,7962799.0,3294440.0,4555799.0,112560.0,8903237.0,3867816.0,4681590.0,353831.0,12256516.0,5872091.0,5215753.0,11260098.0,656338.0,188.92685704807175,62.26489522919853,126.6619618188732
43,Utah,1421841.0,952370.0,327670.0,596030.0,28670.0,923301.0,229463.0,671747.0,22091.0,852461.0,237241.0,397004.0,218216.0,1421841.0,743508.0,475513.0,1276299.0,267995.0,20.94642543974886,7.134448835012537,13.811976604736328
44,Vermont,700196.0,325046.0,219262.0,98974.0,6810.0,297274.0,199259.0,92700.0,5315.0,291413.0,178179.0,95053.0,18181.0,700196.0,111131.0,227231.0,350178.0,-116100.0,4.944490496154125,8.574735333131414,-3.630244836977293
45,Virginia,6818111.0,3720463.0,1958261.0,1723508.0,38694.0,3745060.0,1904303.0,1788091.0,52666.0,3844787.0,1916845.0,1731156.0,196786.0,6818111.0,1953847.0,2380862.0,4406810.0,-427015.0,73.7266831607991,57.35680451901466,16.369878641784474
46,Washington,2068521.0,3036878.0,1750848.0,1229216.0,56814.0,2840306.0,1588309.0,1183614.0,68383.0,2765627.0,1523720.0,1043648.0,198259.0,2068521.0,1498301.0,2286324.0,3892806.0,-788023.0,20.273435914124004,17.686064432140324,2.5873714819836855
47,West Virginia,2973025.0,713362.0,303857.0,397466.0,12039.0,661643.0,234925.0,412406.0,14312.0,708226.0,187457.0,486198.0,34571.0,2973025.0,589848.0,259193.0,864488.0,330655.0,40.72638160370846,13.398397713468164,27.327983890240297
48,Wisconsin,3965119.0,2983417.0,1676761.0,1262393.0,43813.0,3056613.0,1613950.0,1408746.0,33917.0,2944620.0,1382210.0,1409467.0,152943.0,3965119.0,1610030.0,1630569.0,3297473.0,-20539.0,40.62344632058883,30.2228473457293,10.40059897485954
49,Wyoming,1288529.0,254658.0,82868.0,164958.0,6832.0,245785.0,68780.0,170265.0,6740.0,248742.0,55949.0,174248.0,18545.0,1288529.0,193454.0,73445.0,276528.0,120009.0,17.274463687293533,5.007976058222445,12.266487629071086
